nama_data,value
Kepala Daerah,23.58
TNI,18.86
Tokoh Agama,12.85
Intelektual,10
Lainnya,6.5
Ketua Parpol,3.82
Pengusaha,3.09
Aktivis,2.03
TT/TJ,19.27
